wall_time,frame,strategy,confidence,near_face,final_detected
1781795572.297,85533,final,0.0,0,0
1781795572.672,85536,final,0.0,0,0
1781795573.049,85539,final,0.0,0,0
1781795573.403,85542,final,0.0,0,0
1781795573.793,85545,final,0.0,0,0
1781795574.142,85548,final,0.0,0,0
1781795574.505,85551,final,0.0,0,0
1781795575.281,85554,final,0.0,0,0
1781795575.586,85557,final,0.0,0,0
1781795575.864,85560,final,0.0,0,0
1781795576.162,85563,final,0.0,0,0
1781795576.488,85566,final,0.0,0,0
1781795576.879,85569,final,0.0,0,0
1781795577.182,85572,final,0.0,0,0
1781795577.519,85575,final,0.0,0,0
1781795577.833,85578,final,0.0,0,0
1781795578.244,85581,final,0.0,0,0
1781795578.551,85584,final,0.0,0,0
1781795578.821,85587,final,0.0,0,0
1781795579.107,85590,final,0.0,0,0
1781795579.406,85593,final,0.0,0,0
1781795579.712,85596,final,0.0,0,0
1781795580.009,85599,final,0.0,0,0
1781795580.282,85602,final,0.0,0,0
1781795580.553,85605,final,0.0,0,0
1781795580.822,85608,final,0.0,0,0
1781795581.099,85611,final,0.0,0,0
1781795581.382,85614,final,0.0,0,0
1781795581.675,85617,final,0.0,0,0
1781795581.959,85620,final,0.0,0,0
1781795582.268,85623,final,0.0,0,0
1781795582.591,85626,final,0.0,0,0
1781795582.88,85629,final,0.0,0,0
1781795583.186,85632,final,0.0,0,0
1781795583.495,85635,final,0.0,0,0
1781795583.811,85638,final,0.0,0,0
1781795584.104,85641,final,0.0,0,0
1781795584.379,85644,final,0.0,0,0
1781795584.669,85647,final,0.0,0,0
1781795584.945,85650,final,0.0,0,0
1781795585.209,85653,final,0.0,0,0
1781795585.483,85656,final,0.0,0,0
1781795585.751,85659,final,0.0,0,0
1781795586.017,85662,final,0.0,0,0
1781795586.28,85665,final,0.0,0,0
1781795586.541,85668,final,0.0,0,0
1781795586.8,85671,final,0.0,0,0
1781795587.081,85674,final,0.0,0,0
1781795587.339,85677,final,0.0,0,0
1781795587.603,85680,final,0.0,0,0
1781795587.86,85683,final,0.0,0,0
1781795588.126,85686,final,0.0,0,0
